library	cell_line	control_type	dsb_type	guide_rna	construct	strand	version
yjl244	WT	noDSB	1DSB	sgA	sense	R1	versionNone
yjl244	WT	noDSB	1DSB	sgB	sense	R2	versionNone
yjl245	WT	noDSB	1DSB	sgA	branch	R1	versionNone
yjl245	WT	noDSB	1DSB	sgB	branch	R2	versionNone
yjl246	WT	noDSB	1DSB	sgA	cmv	R1	versionNone
yjl246	WT	noDSB	1DSB	sgB	cmv	R2	versionNone
yjl255	WT	notControl	1DSB	sgA	sense	R1	versionNone
yjl255	WT	30bpDown	1DSB	sgA	sense	R1	versionNone
yjl256	WT	notControl	1DSB	sgA	sense	R1	versionNone
yjl256	WT	30bpDown	1DSB	sgA	sense	R1	versionNone
yjl257	WT	notControl	1DSB	sgA	sense	R1	versionNone
yjl257	WT	30bpDown	1DSB	sgA	sense	R1	versionNone
yjl258	WT	notControl	1DSB	sgA	sense	R1	versionNone
yjl258	WT	30bpDown	1DSB	sgA	sense	R1	versionNone
yjl259	WT	notControl	1DSB	sgA	branch	R1	versionNone
yjl259	WT	30bpDown	1DSB	sgA	branch	R1	versionNone
yjl260	WT	notControl	1DSB	sgA	branch	R1	versionNone
yjl260	WT	30bpDown	1DSB	sgA	branch	R1	versionNone
yjl261	WT	notControl	1DSB	sgA	branch	R1	versionNone
yjl261	WT	30bpDown	1DSB	sgA	branch	R1	versionNone
yjl262	WT	notControl	1DSB	sgA	branch	R1	versionNone
yjl262	WT	30bpDown	1DSB	sgA	branch	R1	versionNone
yjl263	WT	notControl	1DSB	sgA	cmv	R1	versionNone
yjl263	WT	30bpDown	1DSB	sgA	cmv	R1	versionNone
yjl264	WT	notControl	1DSB	sgA	cmv	R1	versionNone
yjl264	WT	30bpDown	1DSB	sgA	cmv	R1	versionNone
yjl265	WT	notControl	1DSB	sgA	cmv	R1	versionNone
yjl265	WT	30bpDown	1DSB	sgA	cmv	R1	versionNone
yjl266	WT	notControl	1DSB	sgA	cmv	R1	versionNone
yjl266	WT	30bpDown	1DSB	sgA	cmv	R1	versionNone
yjl267	WT	notControl	1DSB	sgB	sense	R2	versionNone
yjl267	WT	30bpDown	1DSB	sgB	sense	R2	versionNone
yjl268	WT	notControl	1DSB	sgB	sense	R2	versionNone
yjl268	WT	30bpDown	1DSB	sgB	sense	R2	versionNone
yjl269	WT	notControl	1DSB	sgB	sense	R2	versionNone
yjl269	WT	30bpDown	1DSB	sgB	sense	R2	versionNone
yjl270	WT	notControl	1DSB	sgB	sense	R2	versionNone
yjl270	WT	30bpDown	1DSB	sgB	sense	R2	versionNone
yjl271	WT	notControl	1DSB	sgB	branch	R2	versionNone
yjl271	WT	30bpDown	1DSB	sgB	branch	R2	versionNone
yjl272	WT	notControl	1DSB	sgB	branch	R2	versionNone
yjl272	WT	30bpDown	1DSB	sgB	branch	R2	versionNone
yjl273	WT	notControl	1DSB	sgB	branch	R2	versionNone
yjl273	WT	30bpDown	1DSB	sgB	branch	R2	versionNone
yjl274	WT	notControl	1DSB	sgB	branch	R2	versionNone
yjl274	WT	30bpDown	1DSB	sgB	branch	R2	versionNone
yjl275	WT	notControl	1DSB	sgB	cmv	R2	versionNone
yjl275	WT	30bpDown	1DSB	sgB	cmv	R2	versionNone
yjl276	WT	notControl	1DSB	sgB	cmv	R2	versionNone
yjl276	WT	30bpDown	1DSB	sgB	cmv	R2	versionNone
yjl277	WT	notControl	1DSB	sgB	cmv	R2	versionNone
yjl277	WT	30bpDown	1DSB	sgB	cmv	R2	versionNone
yjl278	WT	notControl	1DSB	sgB	cmv	R2	versionNone
yjl278	WT	30bpDown	1DSB	sgB	cmv	R2	versionNone
yjl281	KO	noDSB	1DSB	sgA	sense	R1	versionNone
yjl281	KO	noDSB	1DSB	sgB	sense	R2	versionNone
yjl282	KO	noDSB	1DSB	sgA	branch	R1	versionNone
yjl282	KO	noDSB	1DSB	sgB	branch	R2	versionNone
yjl283	KO	noDSB	1DSB	sgA	cmv	R1	versionNone
yjl283	KO	noDSB	1DSB	sgB	cmv	R2	versionNone
yjl292	KO	notControl	1DSB	sgA	sense	R1	versionNone
yjl292	KO	30bpDown	1DSB	sgA	sense	R1	versionNone
yjl293	KO	notControl	1DSB	sgA	sense	R1	versionNone
yjl293	KO	30bpDown	1DSB	sgA	sense	R1	versionNone
yjl294	KO	notControl	1DSB	sgA	sense	R1	versionNone
yjl294	KO	30bpDown	1DSB	sgA	sense	R1	versionNone
yjl295	KO	notControl	1DSB	sgA	sense	R1	versionNone
yjl295	KO	30bpDown	1DSB	sgA	sense	R1	versionNone
yjl296	KO	notControl	1DSB	sgA	branch	R1	versionNone
yjl296	KO	30bpDown	1DSB	sgA	branch	R1	versionNone
yjl297	KO	notControl	1DSB	sgA	branch	R1	versionNone
yjl297	KO	30bpDown	1DSB	sgA	branch	R1	versionNone
yjl298	KO	notControl	1DSB	sgA	branch	R1	versionNone
yjl298	KO	30bpDown	1DSB	sgA	branch	R1	versionNone
yjl299	KO	notControl	1DSB	sgA	branch	R1	versionNone
yjl299	KO	30bpDown	1DSB	sgA	branch	R1	versionNone
yjl300	KO	notControl	1DSB	sgA	cmv	R1	versionNone
yjl300	KO	30bpDown	1DSB	sgA	cmv	R1	versionNone
yjl301	KO	notControl	1DSB	sgA	cmv	R1	versionNone
yjl301	KO	30bpDown	1DSB	sgA	cmv	R1	versionNone
yjl302	KO	notControl	1DSB	sgA	cmv	R1	versionNone
yjl302	KO	30bpDown	1DSB	sgA	cmv	R1	versionNone
yjl303	KO	notControl	1DSB	sgA	cmv	R1	versionNone
yjl303	KO	30bpDown	1DSB	sgA	cmv	R1	versionNone
yjl304	KO	notControl	1DSB	sgB	sense	R2	versionNone
yjl304	KO	30bpDown	1DSB	sgB	sense	R2	versionNone
yjl305	KO	notControl	1DSB	sgB	sense	R2	versionNone
yjl305	KO	30bpDown	1DSB	sgB	sense	R2	versionNone
yjl306	KO	notControl	1DSB	sgB	sense	R2	versionNone
yjl306	KO	30bpDown	1DSB	sgB	sense	R2	versionNone
yjl307	KO	notControl	1DSB	sgB	sense	R2	versionNone
yjl307	KO	30bpDown	1DSB	sgB	sense	R2	versionNone
yjl308	KO	notControl	1DSB	sgB	branch	R2	versionNone
yjl308	KO	30bpDown	1DSB	sgB	branch	R2	versionNone
yjl309	KO	notControl	1DSB	sgB	branch	R2	versionNone
yjl309	KO	30bpDown	1DSB	sgB	branch	R2	versionNone
yjl310	KO	notControl	1DSB	sgB	branch	R2	versionNone
yjl310	KO	30bpDown	1DSB	sgB	branch	R2	versionNone
yjl311	KO	notControl	1DSB	sgB	branch	R2	versionNone
yjl311	KO	30bpDown	1DSB	sgB	branch	R2	versionNone
yjl312	KO	notControl	1DSB	sgB	cmv	R2	versionNone
yjl312	KO	30bpDown	1DSB	sgB	cmv	R2	versionNone
yjl313	KO	notControl	1DSB	sgB	cmv	R2	versionNone
yjl313	KO	30bpDown	1DSB	sgB	cmv	R2	versionNone
yjl314	KO	notControl	1DSB	sgB	cmv	R2	versionNone
yjl314	KO	30bpDown	1DSB	sgB	cmv	R2	versionNone
yjl315	KO	notControl	1DSB	sgB	cmv	R2	versionNone
yjl315	KO	30bpDown	1DSB	sgB	cmv	R2	versionNone
yjl349	WT	notControl	2DSBanti	sgCD	antisense	R1	new
yjl349	WT	notControl	2DSBanti	sgCD	antisense	R2	new
yjl350	WT	notControl	2DSBanti	sgCD	antisense	R1	new
yjl350	WT	notControl	2DSBanti	sgCD	antisense	R2	new
yjl351	WT	notControl	2DSBanti	sgCD	antisense	R1	new
yjl351	WT	notControl	2DSBanti	sgCD	antisense	R2	new
yjl352	WT	notControl	2DSBanti	sgCD	antisense	R1	new
yjl352	WT	notControl	2DSBanti	sgCD	antisense	R2	new
yjl353	WT	notControl	2DSBanti	sgCD	splicing	R1	new
yjl353	WT	notControl	2DSBanti	sgCD	splicing	R2	new
yjl354	WT	notControl	2DSBanti	sgCD	splicing	R1	new
yjl354	WT	notControl	2DSBanti	sgCD	splicing	R2	new
yjl355	WT	notControl	2DSBanti	sgCD	splicing	R1	new
yjl355	WT	notControl	2DSBanti	sgCD	splicing	R2	new
yjl356	WT	notControl	2DSBanti	sgCD	splicing	R1	new
yjl356	WT	notControl	2DSBanti	sgCD	splicing	R2	new
yll073	YRNS3	notControl	2DSByeast	YsgCD	antisense	R1	versionNone
yll073	YRNS3	notControl	2DSByeast	YsgCD	antisense	R2	versionNone
yll074	YRNS3	notControl	2DSByeast	YsgCD	antisense	R1	versionNone
yll074	YRNS3	notControl	2DSByeast	YsgCD	antisense	R2	versionNone
yll075	YRNS3	notControl	2DSByeast	YsgCD	antisense	R1	versionNone
yll075	YRNS3	notControl	2DSByeast	YsgCD	antisense	R2	versionNone
yll076	YRNS3	notControl	2DSByeast	YsgCD	antisense	R1	versionNone
yll076	YRNS3	notControl	2DSByeast	YsgCD	antisense	R2	versionNone
yll055	YRNS3	noDSB	2DSByeast	YsgCD	antisense	R1	versionNone
yll055	YRNS3	noDSB	2DSByeast	YsgCD	antisense	R2	versionNone
yll077	YRNS3	notControl	2DSByeast	YsgCD	branch	R1	versionNone
yll077	YRNS3	notControl	2DSByeast	YsgCD	branch	R2	versionNone
yll078	YRNS3	notControl	2DSByeast	YsgCD	branch	R1	versionNone
yll078	YRNS3	notControl	2DSByeast	YsgCD	branch	R2	versionNone
yll079	YRNS3	notControl	2DSByeast	YsgCD	branch	R1	versionNone
yll079	YRNS3	notControl	2DSByeast	YsgCD	branch	R2	versionNone
yll080	YRNS3	notControl	2DSByeast	YsgCD	branch	R1	versionNone
yll080	YRNS3	notControl	2DSByeast	YsgCD	branch	R2	versionNone
yll056	YRNS3	noDSB	2DSByeast	YsgCD	branch	R1	versionNone
yll056	YRNS3	noDSB	2DSByeast	YsgCD	branch	R2	versionNone
yll023	YWT	notControl	2DSByeast	YsgCD	antisense	R1	versionNone
yll023	YWT	notControl	2DSByeast	YsgCD	antisense	R2	versionNone
yll024	YWT	notControl	2DSByeast	YsgCD	antisense	R1	versionNone
yll024	YWT	notControl	2DSByeast	YsgCD	antisense	R2	versionNone
yll025	YWT	notControl	2DSByeast	YsgCD	antisense	R1	versionNone
yll025	YWT	notControl	2DSByeast	YsgCD	antisense	R2	versionNone
yll026	YWT	notControl	2DSByeast	YsgCD	antisense	R1	versionNone
yll026	YWT	notControl	2DSByeast	YsgCD	antisense	R2	versionNone
yll013	YWT	noDSB	2DSByeast	YsgCD	antisense	R1	versionNone
yll013	YWT	noDSB	2DSByeast	YsgCD	antisense	R2	versionNone
yll014	YWT	noDSB	2DSByeast	YsgCD	antisense	R1	versionNone
yll014	YWT	noDSB	2DSByeast	YsgCD	antisense	R2	versionNone
yll027	YWT	notControl	2DSByeast	YsgCD	branch	R1	versionNone
yll027	YWT	notControl	2DSByeast	YsgCD	branch	R2	versionNone
yll028	YWT	notControl	2DSByeast	YsgCD	branch	R1	versionNone
yll028	YWT	notControl	2DSByeast	YsgCD	branch	R2	versionNone
yll029	YWT	notControl	2DSByeast	YsgCD	branch	R1	versionNone
yll029	YWT	notControl	2DSByeast	YsgCD	branch	R2	versionNone
yll030	YWT	notControl	2DSByeast	YsgCD	branch	R1	versionNone
yll030	YWT	notControl	2DSByeast	YsgCD	branch	R2	versionNone
yll015	YWT	noDSB	2DSByeast	YsgCD	branch	R1	versionNone
yll015	YWT	noDSB	2DSByeast	YsgCD	branch	R2	versionNone
yll016	YWT	noDSB	2DSByeast	YsgCD	branch	R1	versionNone
yll016	YWT	noDSB	2DSByeast	YsgCD	branch	R2	versionNone
yll065	YWTS3	notControl	2DSByeast	YsgCD	antisense	R1	versionNone
yll065	YWTS3	notControl	2DSByeast	YsgCD	antisense	R2	versionNone
yll066	YWTS3	notControl	2DSByeast	YsgCD	antisense	R1	versionNone
yll066	YWTS3	notControl	2DSByeast	YsgCD	antisense	R2	versionNone
yll067	YWTS3	notControl	2DSByeast	YsgCD	antisense	R1	versionNone
yll067	YWTS3	notControl	2DSByeast	YsgCD	antisense	R2	versionNone
yll068	YWTS3	notControl	2DSByeast	YsgCD	antisense	R1	versionNone
yll068	YWTS3	notControl	2DSByeast	YsgCD	antisense	R2	versionNone
yll053	YWTS3	noDSB	2DSByeast	YsgCD	antisense	R1	versionNone
yll053	YWTS3	noDSB	2DSByeast	YsgCD	antisense	R2	versionNone
yll069	YWTS3	notControl	2DSByeast	YsgCD	branch	R1	versionNone
yll069	YWTS3	notControl	2DSByeast	YsgCD	branch	R2	versionNone
yll070	YWTS3	notControl	2DSByeast	YsgCD	branch	R1	versionNone
yll070	YWTS3	notControl	2DSByeast	YsgCD	branch	R2	versionNone
yll071	YWTS3	notControl	2DSByeast	YsgCD	branch	R1	versionNone
yll071	YWTS3	notControl	2DSByeast	YsgCD	branch	R2	versionNone
yll072	YWTS3	notControl	2DSByeast	YsgCD	branch	R1	versionNone
yll072	YWTS3	notControl	2DSByeast	YsgCD	branch	R2	versionNone
yll054	YWTS3	noDSB	2DSByeast	YsgCD	branch	R1	versionNone
yll054	YWTS3	noDSB	2DSByeast	YsgCD	branch	R2	versionNone
