library_name	ref_seq_file	sam_file
yjl314	1DSB_R2_cmv.fa	yjl314_KO_sgB_R2_cmv.sam
yjl314	1DSB_R2_cmv.fa	yjl314_KO_sgB_R2_cmv_30bpDown.sam
yjl315	1DSB_R2_cmv.fa	yjl315_KO_sgB_R2_cmv.sam
yjl315	1DSB_R2_cmv.fa	yjl315_KO_sgB_R2_cmv_30bpDown.sam
yjl349	2DSBanti_R1_antisense_new.fa	yjl349_WT_sgCD_R1_antisense.sam
yjl349	2DSBanti_R2_antisense_new.fa	yjl349_WT_sgCD_R2_antisense.sam
yjl350	2DSBanti_R1_antisense_new.fa	yjl350_WT_sgCD_R1_antisense.sam
yjl350	2DSBanti_R2_antisense_new.fa	yjl350_WT_sgCD_R2_antisense.sam
yjl351	2DSBanti_R1_antisense_new.fa	yjl351_WT_sgCD_R1_antisense.sam
yjl351	2DSBanti_R2_antisense_new.fa	yjl351_WT_sgCD_R2_antisense.sam
yjl352	2DSBanti_R1_antisense_new.fa	yjl352_WT_sgCD_R1_antisense.sam
yjl352	2DSBanti_R2_antisense_new.fa	yjl352_WT_sgCD_R2_antisense.sam
yjl353	2DSBanti_R1_splicing_new.fa	yjl353_WT_sgCD_R1_splicing.sam
yjl353	2DSBanti_R2_splicing_new.fa	yjl353_WT_sgCD_R2_splicing.sam
yjl354	2DSBanti_R1_splicing_new.fa	yjl354_WT_sgCD_R1_splicing.sam
yjl354	2DSBanti_R2_splicing_new.fa	yjl354_WT_sgCD_R2_splicing.sam
yjl355	2DSBanti_R1_splicing_new.fa	yjl355_WT_sgCD_R1_splicing.sam
yjl355	2DSBanti_R2_splicing_new.fa	yjl355_WT_sgCD_R2_splicing.sam
yjl356	2DSBanti_R1_splicing_new.fa	yjl356_WT_sgCD_R1_splicing.sam
yjl356	2DSBanti_R2_splicing_new.fa	yjl356_WT_sgCD_R2_splicing.sam
